0.669,16.607
0.866,18.306
0.868,17.240
0.131,16.766
0.410,16.956
0.622,16.212
0.703,17.272
0.705,17.166
0.721,17.182
0.737,16.850
0.933,17.483
0.766,18.106
0.816,17.104
0.077,16.573
0.125,16.822
0.141,16.874
0.287,17.136
0.319,17.233
0.335,17.388
0.563,16.048
0.678,17.277
0.694,16.982
0.712,16.649
0.726,17.029
0.776,17.443
0.986,16.940
0.034,16.257
0.036,16.424
0.068,16.593
0.180,16.775
0.392,16.555
0.408,16.119
0.490,16.529
0.554,16.195
0.570,16.000
0.572,16.292
0.588,16.354
0.668,16.724
0.684,17.036
0.718,16.649
0.734,17.093
0.880,17.872
0.896,17.694
0.912,17.238
0.943,17.339
0.994,16.737
0.010,16.945
0.025,16.874
0.123,16.601
0.139,16.889
0.155,16.895
0.171,17.118
0.219,17.540
0.447,17.489
0.463,16.426
0.590,16.069
0.816,17.253
0.008,16.532
0.024,16.798
0.040,16.390
0.042,16.084
0.155,16.879
0.476,17.793
0.492,16.185
0.571,16.636
0.589,16.494
